Entity,Code,Year,milexgdp
Japan,JPN,1975,0.6503291
Japan,JPN,1976,0.60748965
Japan,JPN,1977,0.6745318
Japan,JPN,1978,0.73367447
Japan,JPN,1979,0.8731986
Japan,JPN,1980,0.71202534
Japan,JPN,1981,0.7485024
Japan,JPN,1982,0.717673
Japan,JPN,1983,0.874859
Japan,JPN,1984,0.8702805
Japan,JPN,1985,1.0435516
Japan,JPN,1986,0.9730866
Japan,JPN,1987,1.1228508
Japan,JPN,1988,1.071374
Japan,JPN,1989,1.114135
Japan,JPN,1990,1.080936
Japan,JPN,1991,0.9409067
Japan,JPN,1992,1.1301794
Japan,JPN,1993,1.2285001
Japan,JPN,1994,1.294929
Japan,JPN,1995,1.4156749
Japan,JPN,1996,1.1154728
Japan,JPN,1997,1.0388503
Japan,JPN,1998,0.95152986
Japan,JPN,1999,1.001776
Japan,JPN,2000,1.0134461
Japan,JPN,2001,1.0735648
Japan,JPN,2002,0.96941924
Japan,JPN,2003,0.8972016
Japan,JPN,2004,0.82931185
Japan,JPN,2005,0.89109045
Japan,JPN,2006,0.82509995
Japan,JPN,2007,0.7355196
Japan,JPN,2008,0.84507465
Japan,JPN,2009,1.0290955
Japan,JPN,2010,0.9723773
Japan,JPN,2011,1.0132114
Japan,JPN,2012,1.1031622
Japan,JPN,2013,0.9922851
Japan,JPN,2014,0.8205336
Japan,JPN,2015,0.7655266
Japan,JPN,2016,0.9071719
Japan,JPN,2017,0.79880023
Japan,JPN,2018,1.0259354
Japan,JPN,2019,0.856925
Russia,RUS,1816,1.2959201
Russia,RUS,1817,1.1022509
Russia,RUS,1818,1.2813035
Russia,RUS,1819,1.348544
Russia,RUS,1820,1.7425783
Russia,RUS,1821,1.6636243
Russia,RUS,1822,1.72739
Russia,RUS,1823,1.589894
Russia,RUS,1824,1.5693072
Russia,RUS,1825,1.416193
Russia,RUS,1826,1.3296224
Russia,RUS,1827,1.5097588
Russia,RUS,1828,1.556288
Russia,RUS,1829,1.4952488
Russia,RUS,1830,1.4223074
Russia,RUS,1831,1.4619548
Russia,RUS,1832,2.0411217
Russia,RUS,1833,1.6983298
Russia,RUS,1834,1.8163562
Russia,RUS,1835,2.1126611
Russia,RUS,1836,1.6539894
Russia,RUS,1837,2.3797047
Russia,RUS,1838,2.2010727
Russia,RUS,1839,2.3492098
Russia,RUS,1840,2.5801203
Russia,RUS,1841,2.9942572
Russia,RUS,1842,2.760988
Russia,RUS,1843,3.28131
Russia,RUS,1844,2.6869264
Russia,RUS,1845,3.187922
Russia,RUS,1846,3.1295166
Russia,RUS,1847,3.1984317
Russia,RUS,1848,3.6926277
Russia,RUS,1849,3.8916826
Russia,RUS,1850,3.3707705
Russia,RUS,1851,3.4845297
Russia,RUS,1852,3.8210993
Russia,RUS,1853,3.965538
Russia,RUS,1854,5.168166
Russia,RUS,1855,5.308177
Russia,RUS,1856,5.6627064
Russia,RUS,1857,3.2304513
Russia,RUS,1858,3.06848
Russia,RUS,1859,3.3067808
Russia,RUS,1860,2.915363
Russia,RUS,1861,3.1786222
Russia,RUS,1862,3.2373462
Russia,RUS,1863,3.514688
Russia,RUS,1864,3.6137104
Russia,RUS,1865,2.5905206
Russia,RUS,1866,2.2311096
Russia,RUS,1867,1.9073443
Russia,RUS,1868,1.9915154
Russia,RUS,1869,2.2203286
Russia,RUS,1870,2.0772364
Russia,RUS,1871,1.9479835
Russia,RUS,1872,2.4198153
Russia,RUS,1873,2.4031374
